home_team,home_win,home_draw,home_loss,away_win,away_draw,continent,avg_FIFA_points,median_FIFA_rank,home_goal_scored,home_goal_conceded,away_goal_scored,away_goal_conceded
Brunei Darussalam,7,1,9,32,4,Asia,113.7318594,194,17,47,30,113
Bulgaria,66,21,35,65,45,Europe,328.1102979,44.5,201,136,146,215
Burkina Faso,69,40,34,86,48,Africa,325.2535528,72,217,153,140,228
Burundi,32,17,24,54,18,Africa,247.1130521,136,98,68,88,135
Cabo Verde,38,16,14,38,17,Africa,447.0346354,79,102,53,59,99
Cambodia,26,10,41,69,6,Asia,183.428905,178,100,156,55,294
Cameroon,89,36,25,57,62,Africa,353.8274404,42,235,111,201,209
Canada,54,25,27,65,26,North America,315.5301491,77.5,157,85,154,191
Cayman Islands,10,9,27,21,3,North America,212.9662775,166,47,110,13,80
Central African Republic,14,11,9,29,7,Africa,487.8708122,122,42,32,29,90
Chad,11,7,16,29,10,Africa,212.6161845,163.5,41,52,26,85
Chile,99,30,39,91,44,South America,488.7387473,23,304,169,194,268
China PR,109,50,47,57,35,Asia,239.196504,76,396,192,175,176
Chinese Taipei,11,2,9,52,7,Asia,403.4795821,127,34,34,73,227
Colombia,95,34,36,67,59,South America,459.9202863,18,252,121,224,214
Comoros,8,13,14,24,7,Africa,483.6159046,147,29,35,27,70
Congo,38,28,26,51,27,Africa,318.1410496,96,104,88,81,153
Congo DR,53,22,23,58,44,Africa,384.0786723,70,165,90,153,192
Cook Islands,2,2,6,16,2,Oceania,49.11895486,192,7,29,15,90
Costa Rica,100,47,36,109,51,North America,365.428885,47,319,157,233,316
Croatia,92,38,24,45,41,Europe,517.0699718,16,294,133,251,182
Cuba,45,18,21,67,25,North America,180.8873394,82,178,80,127,236
Curaçao,13,6,14,18,8,North America,563.7623377,144,59,35,48,60
Cyprus,51,31,59,78,15,Europe,290.2204788,85,185,209,73,245
Czech Republic,100,19,34,53,40,Europe,407.3556734,16,323,134,230,182
Côte d'Ivoire,100,32,22,58,50,Africa,425.3898479,38,323,125,226,192
Denmark,90,37,33,46,36,Europe,465.3968921,16,278,135,226,163
Djibouti,4,4,27,42,1,Africa,196.0537119,194,24,110,23,181
Dominica,16,7,19,32,9,North America,214.3560585,174.5,57,74,54,107
Dominican Republic,28,7,16,27,4,North America,304.8271506,155,106,47,52,103
Ecuador,83,34,29,98,47,South America,375.1315036,39,257,130,180,284
Egypt,163,29,35,60,50,Africa,312.1711331,35,486,164,166,183
El Salvador,66,43,65,88,27,North America,310.5679207,88,219,202,121,252
England,124,38,32,31,37,Europe,556.3854074,10,384,132,246,119
Equatorial Guinea,31,12,21,45,8,Africa,427.4364122,134,78,62,27,117
Eritrea,7,9,9,32,4,Africa,53.89647803,168,16,25,29,92
Estonia,57,44,78,117,34,Europe,248.5664228,94,187,246,130,368
Eswatini,28,31,40,61,25,Africa,189.7974056,143,93,131,80,190
Ethiopia,56,29,34,54,19,Africa,277.6772512,131,164,111,87,180
Faroe Islands,22,12,60,78,12,Europe,312.2190317,120,82,188,60,255
Fiji,32,11,16,24,11,Oceania,180.481434,155,142,63,73,83
Finland,52,25,50,84,44,Europe,325.7193681,56,171,146,209,251
France,145,44,32,25,39,Europe,506.9364371,6,447,154,223,112
Gabon,59,46,29,64,23,Africa,271.8397166,82,176,100,108,170
Gambia,23,25,19,38,18,Africa,262.6428352,152,70,64,51,107
Georgia,47,28,41,82,27,Europe,291.8487394,94.5,146,116,138,243
Germany,139,44,36,32,38,Europe,537.6974561,5,544,220,331,171
Ghana,93,33,25,86,55,Africa,362.7947066,40,267,113,197,236
Gibraltar,3,4,17,22,2,Europe,706.0945513,197.5,13,67,6,90
Greece,81,38,39,51,40,Europe,409.0647694,34,216,142,168,168
Grenada,30,8,28,45,15,North America,185.0347078,143,143,112,70,170
Guam,6,4,16,41,3,Asia,211.2200056,191.5,19,102,27,243
Guatemala,74,32,35,72,38,North America,208.0831025,88,251,141,127,218
Guinea,61,23,19,77,39,Africa,330.5904928,69,186,83,171,240
Guinea-Bissau,18,8,15,35,13,Africa,417.1988786,132,51,49,41,97
